ID,position,team,goals_scored,saves_per_90,penalties_saved,own_goals,clean_sheets,saves,yellow_cards,red_cards,Goals,Wins,Losses,Goals Conceded,Tackles,Tackle success %,Interceptions,Recoveries,Duels won,Duels lost,Aerial battles won,Aerial battles lost,Assists,Passes,Big Chances Created,Cross accuracy %,Accurate long balls,Fouls,Headed goals,Shots,Shots on target,Shooting accuracy %,Big chances missed,Saves,Goals_Assists,Total_Contributions,Minutes_per_Goal,Minutes_per_Assist,Goals_Category,Assists_Category
20,3,0,3,0.0,0.0,0.0,7.0,0.0,2.0,0.0,7.0,28.0,5.0,11.0,83.0,0.61,44.0,178.0,156.0,143.0,39.0,46.0,8.0,2227.0,9.0,0.35,78.0,34.0,2.0,58.0,20.0,0.34,2.0,0.0,15,15.0,195.375,173.66666666666666,2,2
21,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,3.0,11.0,9.0,0.67,1.0,22.0,16.0,22.0,0.0,5.0,0.0,127.0,1.0,0.21,2.0,5.0,0.0,4.0,1.0,0.25,0.0,0.0,0,0.0,63.0,63.0,0,0
22,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,4.0,4.0,5.0,1.0,1.0,0.0,67.0,0.0,0.0,1.0,3.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,49.0,49.0,0,0
23,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.53,3.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
24,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.22,0.0,0.0,0,0.0,0.0,0.0,0,0
25,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
26,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
27,3,1,5,0.0,0.0,0.0,3.0,0.0,3.0,0.0,10.0,18.0,9.0,11.0,13.0,0.54,9.0,107.0,110.0,156.0,15.0,24.0,9.0,701.0,12.0,0.23,27.0,26.0,0.0,53.0,18.0,0.34,1.0,0.0,19,19.0,63.0,69.3,2,2
28,0,1,2,0.0,0.0,1.0,3.0,0.0,5.0,0.0,2.0,16.0,7.0,36.0,54.0,0.57,18.0,110.0,103.0,114.0,15.0,21.0,2.0,1028.0,6.0,0.23,31.0,30.0,0.0,5.0,2.0,0.22,0.0,0.0,4,4.0,420.6666666666667,420.6666666666667,1,1
29,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.53,0.0,34.0,33.0,30.0,5.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0
